Using TensorFlow backend.
2018-02-01 18:25:19.097888: I C:\tf_jenkins\home\workspace\rel-win\M\windows\PY\36\tensorflow\core\platform\cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX
Train on 50000 samples, validate on 10000 samples
Epoch 1/50

15296/50000 [========>.....................] - ETA: 6s - loss: 0.6666
15616/50000 [========>.....................] - ETA: 6s - loss: 0.6664
15936/50000 [========>.....................] - ETA: 6s - loss: 0.6664
16256/50000 [========>.....................] - ETA: 6s - loss: 0.6663
16576/50000 [========>.....................] - ETA: 5s - loss: 0.6662
16896/50000 [=========>....................] - ETA: 5s - loss: 0.6661
17216/50000 [=========>....................] - ETA: 5s - loss: 0.6660
17536/50000 [=========>....................] - ETA: 5s - loss: 0.6660
17856/50000 [=========>....................] - ETA: 5s - loss: 0.6660
18176/50000 [=========>....................] - ETA: 5s - loss: 0.6659
18496/50000 [==========>...................] - ETA: 5s - loss: 0.6659
18816/50000 [==========>...................] - ETA: 5s - loss: 0.6658
19136/50000 [==========>...................] - ETA: 5s - loss: 0.6657
19456/50000 [==========>...................] - ETA: 5s - loss: 0.6656
19776/50000 [==========>...................] - ETA: 5s - loss: 0.6655
20096/50000 [===========>..................] - ETA: 5s - loss: 0.6654
20416/50000 [===========>..................] - ETA: 5s - loss: 0.6653
20736/50000 [===========>..................] - ETA: 5s - loss: 0.6652
21056/50000 [===========>..................] - ETA: 5s - loss: 0.6651
21376/50000 [===========>..................] - ETA: 5s - loss: 0.6651
21696/50000 [============>.................] - ETA: 5s - loss: 0.6650
22016/50000 [============>.................] - ETA: 5s - loss: 0.6650
22336/50000 [============>.................] - ETA: 4s - loss: 0.6649
22656/50000 [============>.................] - ETA: 4s - loss: 0.6648
22976/50000 [============>.................] - ETA: 4s - loss: 0.6647
23296/50000 [============>.................] - ETA: 4s - loss: 0.6647
23616/50000 [=============>................] - ETA: 4s - loss: 0.6646
23936/50000 [=============>................] - ETA: 4s - loss: 0.6645
24256/50000 [=============>................] - ETA: 4s - loss: 0.6644
