Using TensorFlow backend.
2018-01-30 18:48:11.773928: I C:\tf_jenkins\home\workspace\rel-win\M\windows\PY\36\tensorflow\core\platform\cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX
Reading TRAIN data...
Reading TEST data...
Train on 50000 samples, validate on 10000 samples
Epoch 1/50

50000/50000 [==============================] - 2s 50us/step - loss: 0.2533 - val_loss: 0.2427
Epoch 4/50

  256/50000 [..............................] - ETA: 2s - loss: 0.2460
 1536/50000 [..............................] - ETA: 2s - loss: 0.2440
 2816/50000 [>.............................] - ETA: 2s - loss: 0.2436
 4096/50000 [=>............................] - ETA: 2s - loss: 0.2435
 5376/50000 [==>...........................] - ETA: 1s - loss: 0.2433
 6656/50000 [==>...........................] - ETA: 1s - loss: 0.2431
 7936/50000 [===>..........................] - ETA: 1s - loss: 0.2432
 9216/50000 [====>.........................] - ETA: 1s - loss: 0.2428
10496/50000 [=====>........................] - ETA: 1s - loss: 0.2425
11776/50000 [======>.......................] - ETA: 1s - loss: 0.2423
13056/50000 [======>.......................] - ETA: 1s - loss: 0.2418
14080/50000 [=======>......................] - ETA: 1s - loss: 0.2415
15360/50000 [========>.....................] - ETA: 1s - loss: 0.2411
16384/50000 [========>.....................] - ETA: 1s - loss: 0.2409
17664/50000 [=========>....................] - ETA: 1s - loss: 0.2406
18944/50000 [==========>...................] - ETA: 1s - loss: 0.2403
20224/50000 [===========>..................] - ETA: 1s - loss: 0.2400
21504/50000 [===========>..................] - ETA: 1s - loss: 0.2397
22528/50000 [============>.................] - ETA: 1s - loss: 0.2394
23808/50000 [=============>................] - ETA: 1s - loss: 0.2393
24832/50000 [=============>................] - ETA: 1s - loss: 0.2390
26112/50000 [==============>...............] - ETA: 1s - loss: 0.2389
27392/50000 [===============>..............] - ETA: 1s - loss: 0.2387
28672/50000 [================>.............] - ETA: 0s - loss: 0.2385
29952/50000 [================>.............] - ETA: 0s - loss: 0.2382
31232/50000 [=================>............] - ETA: 0s - loss: 0.2381
32512/50000 [==================>...........] - ETA: 0s - loss: 0.2379
33792/50000 [===================>..........] - ETA: 0s - loss: 0.2376
35072/50000 [====================>.........] - ETA: 0s - loss: 0.2375
36352/50000 [====================>.........] - ETA: 0s - loss: 0.2373
37632/50000 [=====================>........] - ETA: 0s - loss: 0.2371
38912/50000 [======================>.......] - ETA: 0s - loss: 0.2369
40192/50000 [=======================>......] - ETA: 0s - loss: 0.2367
41472/50000 [=======================>......] - ETA: 0s - loss: 0.2365
42752/50000 [========================>.....] - ETA: 0s - loss: 0.2363
44032/50000 [=========================>....] - ETA: 0s - loss: 0.2360
45312/50000 [==========================>...] - ETA: 0s - loss: 0.2357
46592/50000 [==========================>...] - ETA: 0s - loss: 0.2356
47872/50000 [===========================>..] - ETA: 0s - loss: 0.2353
49152/50000 [============================>.] - ETA: 0s - loss: 0.2351
50000/50000 [==============================] - 3s 50us/step - loss: 0.2350 - val_loss: 0.2249
Epoch 5/50

  256/50000 [..............................] - ETA: 2s - loss: 0.2217
 1536/50000 [..............................] - ETA: 2s - loss: 0.2276
 2816/50000 [>.............................] - ETA: 2s - loss: 0.2266
 4096/50000 [=>............................] - ETA: 2s - loss: 0.2259
 5376/50000 [==>...........................] - ETA: 2s - loss: 0.2260
 6656/50000 [==>...........................] - ETA: 1s - loss: 0.2258
 7936/50000 [===>..........................] - ETA: 1s - loss: 0.2255
 9216/50000 [====>.........................] - ETA: 1s - loss: 0.2251
10496/50000 [=====>........................] - ETA: 1s - loss: 0.2250
11776/50000 [======>.......................] - ETA: 1s - loss: 0.2248
13056/50000 [======>.......................] - ETA: 1s - loss: 0.2245
14336/50000 [=======>......................] - ETA: 1s - loss: 0.2245
15616/50000 [========>.....................] - ETA: 1s - loss: 0.2244
16896/50000 [=========>....................] - ETA: 1s - loss: 0.2241
18176/50000 [=========>....................] - ETA: 1s - loss: 0.2238
19456/50000 [==========>...................] - ETA: 1s - loss: 0.2236
20736/50000 [===========>..................] - ETA: 1s - loss: 0.2232
22016/50000 [============>.................] - ETA: 1s - loss: 0.2229
23296/50000 [============>.................] - ETA: 1s - loss: 0.2228
24576/50000 [=============>................] - ETA: 1s - loss: 0.2226
25856/50000 [==============>...............] - ETA: 1s - loss: 0.2223
27136/50000 [===============>..............] - ETA: 1s - loss: 0.2220
28416/50000 [================>.............] - ETA: 0s - loss: 0.2218
29696/50000 [================>.............] - ETA: 0s - loss: 0.2217
30976/50000 [=================>............] - ETA: 0s - loss: 0.2215
32256/50000 [==================>...........] - ETA: 0s - loss: 0.2213
33536/50000 [===================>..........] - ETA: 0s - loss: 0.2212
34816/50000 [===================>..........] - ETA: 0s - loss: 0.2210
36096/50000 [====================>.........] - ETA: 0s - loss: 0.2208
37376/50000 [=====================>........] - ETA: 0s - loss: 0.2207
38656/50000 [======================>.......] - ETA: 0s - loss: 0.2206
39936/50000 [======================>.......] - ETA: 0s - loss: 0.2204
41216/50000 [=======================>......] - ETA: 0s - loss: 0.2202
42496/50000 [========================>.....] - ETA: 0s - loss: 0.2200
43776/50000 [=========================>....] - ETA: 0s - loss: 0.2199
