Using TensorFlow backend.
2018-02-04 01:39:11.458747: I C:\tf_jenkins\home\workspace\rel-win\M\windows\PY\36\tensorflow\core\platform\cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX
Train on 50000 samples, validate on 10000 samples
Epoch 1/50

47424/50000 [===========================>..] - ETA: 0s - loss: 0.6852
48000/50000 [===========================>..] - ETA: 0s - loss: 0.6850
48576/50000 [============================>.] - ETA: 0s - loss: 0.6849
49152/50000 [============================>.] - ETA: 0s - loss: 0.6847
49728/50000 [============================>.] - ETA: 0s - loss: 0.6846
50000/50000 [==============================] - 8s 165us/step - loss: 0.6845 - val_loss: 0.6716
Epoch 2/50

   64/50000 [..............................] - ETA: 5s - loss: 0.6721
  640/50000 [..............................] - ETA: 4s - loss: 0.6714
 1216/50000 [..............................] - ETA: 4s - loss: 0.6714
 1792/50000 [>.............................] - ETA: 4s - loss: 0.6706
 2368/50000 [>.............................] - ETA: 4s - loss: 0.6708
 2944/50000 [>.............................] - ETA: 4s - loss: 0.6703
 3584/50000 [=>............................] - ETA: 4s - loss: 0.6696
 4160/50000 [=>............................] - ETA: 4s - loss: 0.6695
 4736/50000 [=>............................] - ETA: 4s - loss: 0.6697
 5312/50000 [==>...........................] - ETA: 4s - loss: 0.6693
 5888/50000 [==>...........................] - ETA: 3s - loss: 0.6691
 6464/50000 [==>...........................] - ETA: 3s - loss: 0.6691
 7040/50000 [===>..........................] - ETA: 3s - loss: 0.6690
 7680/50000 [===>..........................] - ETA: 3s - loss: 0.6688
 8256/50000 [===>..........................] - ETA: 3s - loss: 0.6689
 8832/50000 [====>.........................] - ETA: 3s - loss: 0.6687
 9472/50000 [====>.........................] - ETA: 3s - loss: 0.6687
10112/50000 [=====>........................] - ETA: 3s - loss: 0.6684
10752/50000 [=====>........................] - ETA: 3s - loss: 0.6683
11392/50000 [=====>........................] - ETA: 3s - loss: 0.6682
12032/50000 [======>.......................] - ETA: 3s - loss: 0.6680
12672/50000 [======>.......................] - ETA: 3s - loss: 0.6678
13312/50000 [======>.......................] - ETA: 3s - loss: 0.6676
13888/50000 [=======>......................] - ETA: 3s - loss: 0.6674
14464/50000 [=======>......................] - ETA: 3s - loss: 0.6671
14784/50000 [=======>......................] - ETA: 3s - loss: 0.6670
15040/50000 [========>.....................] - ETA: 3s - loss: 0.6669
15232/50000 [========>.....................] - ETA: 3s - loss: 0.6668
15488/50000 [========>.....................] - ETA: 3s - loss: 0.6668
15744/50000 [========>.....................] - ETA: 3s - loss: 0.6667
16000/50000 [========>.....................] - ETA: 3s - loss: 0.6666
16256/50000 [========>.....................] - ETA: 3s - loss: 0.6666
16576/50000 [========>.....................] - ETA: 3s - loss: 0.6665
16832/50000 [=========>....................] - ETA: 3s - loss: 0.6665
17152/50000 [=========>....................] - ETA: 3s - loss: 0.6664
17408/50000 [=========>....................] - ETA: 3s - loss: 0.6664
17728/50000 [=========>....................] - ETA: 3s - loss: 0.6662
18048/50000 [=========>....................] - ETA: 3s - loss: 0.6661
18368/50000 [==========>...................] - ETA: 3s - loss: 0.6660
18688/50000 [==========>...................] - ETA: 3s - loss: 0.6660
19008/50000 [==========>...................] - ETA: 3s - loss: 0.6658
19328/50000 [==========>...................] - ETA: 3s - loss: 0.6657
19648/50000 [==========>...................] - ETA: 3s - loss: 0.6656
19968/50000 [==========>...................] - ETA: 3s - loss: 0.6655
20224/50000 [===========>..................] - ETA: 3s - loss: 0.6654
20480/50000 [===========>..................] - ETA: 3s - loss: 0.6654
20800/50000 [===========>..................] - ETA: 3s - loss: 0.6653
21120/50000 [===========>..................] - ETA: 3s - loss: 0.6651
21440/50000 [===========>..................] - ETA: 3s - loss: 0.6650
21760/50000 [============>.................] - ETA: 3s - loss: 0.6649
22080/50000 [============>.................] - ETA: 3s - loss: 0.6648
22400/50000 [============>.................] - ETA: 3s - loss: 0.6647
22784/50000 [============>.................] - ETA: 3s - loss: 0.6646
23104/50000 [============>.................] - ETA: 3s - loss: 0.6645
23488/50000 [=============>................] - ETA: 3s - loss: 0.6645
23808/50000 [=============>................] - ETA: 3s - loss: 0.6644
24192/50000 [=============>................] - ETA: 3s - loss: 0.6643
24576/50000 [=============>................] - ETA: 3s - loss: 0.6642
24960/50000 [=============>................] - ETA: 3s - loss: 0.6642
25344/50000 [==============>...............] - ETA: 3s - loss: 0.6641
25728/50000 [==============>...............] - ETA: 3s - loss: 0.6640
26176/50000 [==============>...............] - ETA: 3s - loss: 0.6638
26560/50000 [==============>...............] - ETA: 3s - loss: 0.6637
26944/50000 [===============>..............] - ETA: 3s - loss: 0.6636
