D:\Programs\Anaconda3\python.exe D:/Workspace/PycharmProjects/vae-master-thesis/VAEsInKeras/mnist.py
Using TensorFlow backend.

Train on 55000 samples, validate on 5000 samples

Epoch 1/50
  256/55000 [..............................] - ETA: 4:02 - loss: 0.6931OMP: Info #250: KMP_AFFINITY: pid 14412 tid 10644 thread 16 bound to OS proc set 0
 9728/55000 [====>.........................] - ETA: 1s - loss: 0.0111
11264/55000 [=====>........................] - ETA: 1s - loss: 0.0111
12032/55000 [=====>........................] - ETA: 1s - loss: 0.0111
13568/55000 [======>.......................] - ETA: 1s - loss: 0.0110
15104/55000 [=======>......................] - ETA: 1s - loss: 0.0110
16640/55000 [========>.....................] - ETA: 1s - loss: 0.0110
18176/55000 [========>.....................] - ETA: 1s - loss: 0.0110
19712/55000 [=========>....................] - ETA: 1s - loss: 0.0110
20992/55000 [==========>...................] - ETA: 1s - loss: 0.0110
22272/55000 [===========>..................] - ETA: 1s - loss: 0.0109
23552/55000 [===========>..................] - ETA: 1s - loss: 0.0109
24064/55000 [============>.................] - ETA: 1s - loss: 0.0109
25600/55000 [============>.................] - ETA: 1s - loss: 0.0109
27136/55000 [=============>................] - ETA: 1s - loss: 0.0109
28672/55000 [==============>...............] - ETA: 1s - loss: 0.0109
29952/55000 [===============>..............] - ETA: 1s - loss: 0.0109
31488/55000 [================>.............] - ETA: 1s - loss: 0.0108
32768/55000 [================>.............] - ETA: 1s - loss: 0.0108
34304/55000 [=================>............] - ETA: 0s - loss: 0.0108
35840/55000 [==================>...........] - ETA: 0s - loss: 0.0108
37376/55000 [===================>..........] - ETA: 0s - loss: 0.0108
38656/55000 [====================>.........] - ETA: 0s - loss: 0.0108
39936/55000 [====================>.........] - ETA: 0s - loss: 0.0108
41472/55000 [=====================>........] - ETA: 0s - loss: 0.0107
42240/55000 [======================>.......] - ETA: 0s - loss: 0.0107
43776/55000 [======================>.......] - ETA: 0s - loss: 0.0107
45056/55000 [=======================>......] - ETA: 0s - loss: 0.0107
45824/55000 [=======================>......] - ETA: 0s - loss: 0.0107
47360/55000 [========================>.....] - ETA: 0s - loss: 0.0107
48384/55000 [=========================>....] - ETA: 0s - loss: 0.0107
49920/55000 [==========================>...] - ETA: 0s - loss: 0.0107
51200/55000 [==========================>...] - ETA: 0s - loss: 0.0107
52480/55000 [===========================>..] - ETA: 0s - loss: 0.0107
54016/55000 [============================>.] - ETA: 0s - loss: 0.0106
54784/55000 [============================>.] - ETA: 0s - loss: 0.0106
55000/55000 [==============================] - 3s 48us/step - loss: 0.0106 - val_loss: 0.0102
Epoch 7/50

  256/55000 [..............................] - ETA: 2s - loss: 0.0101
 1536/55000 [..............................] - ETA: 2s - loss: 0.0102
 3072/55000 [>.............................] - ETA: 2s - loss: 0.0101
 4608/55000 [=>............................] - ETA: 2s - loss: 0.0101
