Using TensorFlow backend.
2018-02-15 03:27:08.988432: I C:\tf_jenkins\home\workspace\rel-win\M\windows\PY\36\tensorflow\core\platform\cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX

non missing values percentage: 50.0 %

Epoch 1 | Loss (ELBO): 5.065700208059351e+18
Epoch 127 | Loss (ELBO): 1464.6724853515625
Epoch 128 | Loss (ELBO): 1441.440185546875
Epoch 129 | Loss (ELBO): 1442.73193359375
Epoch 130 | Loss (ELBO): 1452.8365478515625
Epoch 131 | Loss (ELBO): 1471.382080078125
Epoch 132 | Loss (ELBO): 1733.5806884765625
Epoch 133 | Loss (ELBO): 1701.31005859375
Epoch 134 | Loss (ELBO): 2135.154296875
Epoch 135 | Loss (ELBO): 1815.05224609375
Epoch 136 | Loss (ELBO): 4097.14208984375
Epoch 137 | Loss (ELBO): 1600.114990234375
Epoch 138 | Loss (ELBO): 1687.5625
Epoch 139 | Loss (ELBO): 1625.702880859375
Epoch 140 | Loss (ELBO): 1586.1396484375
Epoch 141 | Loss (ELBO): 1509.0728759765625
Epoch 142 | Loss (ELBO): 1548.488037109375
Epoch 143 | Loss (ELBO): 1476.1890869140625
Epoch 144 | Loss (ELBO): 1420.484375
Epoch 145 | Loss (ELBO): 1425.490966796875
Epoch 146 | Loss (ELBO): 1403.3524169921875
Epoch 147 | Loss (ELBO): 1409.14599609375
Epoch 148 | Loss (ELBO): 1444.776611328125
Epoch 149 | Loss (ELBO): 1412.35986328125
Epoch 150 | Loss (ELBO): 1388.998046875
Epoch 151 | Loss (ELBO): 1457.6199951171875
Epoch 152 | Loss (ELBO): 1439.6612548828125
Epoch 153 | Loss (ELBO): 1398.469482421875
Epoch 154 | Loss (ELBO): 1449.8624267578125
Epoch 155 | Loss (ELBO): 1419.6884765625
Epoch 156 | Loss (ELBO): 1389.896728515625
Epoch 157 | Loss (ELBO): 1474.19189453125
Epoch 158 | Loss (ELBO): 1465.6722412109375
Epoch 159 | Loss (ELBO): 1402.1832275390625
Epoch 160 | Loss (ELBO): 1389.613037109375
Epoch 161 | Loss (ELBO): 1403.02001953125
Epoch 162 | Loss (ELBO): 1380.937255859375
Epoch 163 | Loss (ELBO): 1422.042724609375
Epoch 164 | Loss (ELBO): 1451.7882080078125
Epoch 165 | Loss (ELBO): 1470.3154296875
Epoch 166 | Loss (ELBO): 1462.9169921875
Epoch 167 | Loss (ELBO): 1431.502685546875
Epoch 168 | Loss (ELBO): 1436.705322265625
Epoch 169 | Loss (ELBO): 1370.07861328125
Epoch 170 | Loss (ELBO): 1390.7646484375
Epoch 171 | Loss (ELBO): 1504.042724609375
Epoch 172 | Loss (ELBO): 1525.7667236328125
Epoch 173 | Loss (ELBO): 1437.09326171875
Epoch 174 | Loss (ELBO): 1388.417236328125
Epoch 175 | Loss (ELBO): 1370.89453125
Epoch 176 | Loss (ELBO): 1372.2086181640625
